Company,Name,Ratio,Units,Opening Date,Closing Date,Book Closure Date,Issue Manager,Status
NIL,Neco Insurance Co. Ltd.,01:00.3,5030902,2025-02-20,2025-03-27,2025-01-31,Sanima Capital Limited,Closed
NIL,Neco Insurance Co. Ltd.,1:01,3240436,2017-02-13,2017-03-19,2016-12-29,NMB Capital Ltd.,Closed
NLBBL,Nerude Laghubita Bikas Bank Limited,2:01,900000,2017-03-26,2017-04-29,2017-03-13,NCM Merchant Banking Ltd.,Closed
NLG,NLG Insurance Company Ltd.,10:06,3842438,2020-03-05,2020-07-09,2020-02-10,Laxmi Capital Market Limited,Closed
NLG,NLG Insurance Company Ltd.,01:00.6,9631220,2024-11-26,2024-12-31,2024-11-12,laxmi sunrise capital,Closed
NLG,NLG Insurance Company Ltd.,2:01,150000,2012-05-01,2012-06-05,2012-05-01,Civil Capital Market Ltd.,Closed
NLICL,National Life Insurance Co. Ltd.,10:06,9936478,2018-07-17,2018-09-04,2018-07-06,NIBL ACE Capital Limited,Closed
NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,01:01.5,2430094,2019-11-10,2019-12-15,2019-10-27,Sunrise Capital Limited,Closed
NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,01:01.2,552000,2016-11-20,2016-12-25,2016-11-03,Laxmi Capital Market Limited,Closed
ODBL,Om Development Bank Ltd.,10:03,4931835,2017-10-08,2017-11-11,2017-09-15,NIBL Capital Market Ltd.,Closed
PCBL,Prime Commercial Bank Ltd.,3:01,12350874,2016-08-27,2016-10-01,2016-08-04,Civil Capital Market Limited,Closed
PFL,Pokhara Finance Ltd.,01:00.2,983683,2018-01-13,2018-02-17,2017-12-29,NIBL Capital Market Limited,Closed
PIC,Premier Insurance Co. Ltd.,01:01.1,1346951,2015-03-29,2015-05-02,2015-03-10,Laxmi Capital Market Ltd.,Closed
PICL,Prudential Insurance Co. Ltd.,10:03,1283040,2017-12-30,2018-02-03,2017-12-01,NIC Asia Capital Limited,Closed
PICL,Prudential Insurance Co. Ltd.,10:06,3849120,2020-06-21,2020-07-03,2020-02-10,NMB Capital Ltd,Closed
PICL,Prudential Insurance Co. Ltd.,1:01,1250000,2014-01-05,2014-02-08,2013-12-23,NMB Capital Ltd.,Closed
