Company,Name,Ratio,Units,Opening Date,Closing Date,Book Closure Date,Issue Manager,Status
CIT,Citizen Investment Trust,100:82.84,13592592,2021-01-12,2021-02-01,2020-12-29,RBB Merchant Banking Limited,Closed
CITY,City Hotel Limited,01:00.8,13392000,2025-08-29,2025-09-28,2025-08-12,Prabhu Capital Limited,Open
CIVIC,Civic Development Bank Ltd,4:01,100000,2014-08-11,2014-09-14,2014-07-21,Growmore Merchant Banking Ltd.,Closed
CORBL,Corporate Development Bank Limited,01:01.5,3000000,2022-01-21,2022-02-25,2022-01-10,Civil Capital Market Limited,Closed
CSDBL,Cosmos Development Bank Ltd.,1:01,503125,2016-07-25,2016-08-28,2016-07-18,Civil Capital Markets Ltd.,Closed
CZBIL,Citizen Bank International Limited,10:05.5,16858786,2016-06-18,2016-07-23,2016-06-06,Global IME Capital Ltd.,Closed
CZBIL,Citizen Bank International Limited,10:02.5,13843379,2017-04-05,2017-05-10,2017-03-09,Sanima Capital Ltd.,Closed
DBBL,Deva Bikas Bank Limited,2:01,4405440,2017-01-21,2017-03-09,2017-01-02,NIBL Capital Markets Ltd.,Closed
DBBL,Deva Bikas Bank Limited,10:04,6533109,2018-04-08,2018-05-13,2018-03-01,NIBL Capital Market Ltd.,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,1:01,2579238,2017-03-19,2017-05-07,2017-02-13,Nabil Investment Banking Ltd.,Closed
DORDI,Dordi Khola Jal Bidyut Company Limited,1:01,10542604,2025-04-01,2025-05-21,2025-02-27,Sanima Capital Limited,Closed
EBL,Everest Bank Limited,3:01,15088087,2017-07-01,2017-08-05,2017-06-21,NIBL Capital Markets Limited,Closed
EDBL,Excel Development Bank Ltd.,01:00.3,2433364,2021-10-11,2021-11-15,2021-09-17,NIBL Ace Capital Limited,Closed
EDBL,Excel Development Bank Ltd.,2:01,1922813,2017-10-03,2017-11-06,2017-09-06,Ace Capital Ltd.,Closed
EDBL,Excel Development Bank Ltd.,04:01.0,525000,2016-01-20,2016-02-23,2016-01-11,Ace Capital Ltd.,Closed
EIC,Everest Insurance Co. Ltd.,01:01.0,1403325,2018-12-02,2019-01-06,2018-11-13,Siddhartha Capital Ltd.,Closed
EIC,Everest Insurance Co. Ltd.,1:03,8219475,2019-05-28,2019-07-01,2019-04-22,Siddhartha Capital Limited,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,2:01,2281313,2018-03-01,2018-04-05,2018-01-23,Global IME Capital Limited,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,1:01,1000000,2015-02-26,2015-04-01,2015-02-12,Nabil Investment Banking Ltd.,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,2:01,1322500,2017-05-10,2017-06-13,2017-04-12,Global IME Capital Limited,Closed
GABL,Gaumukhee Bikas Bank Ltd.,02:00.8,168480,2015-10-10,2015-11-14,2015-09-29,NMB Capital Ltd.,Closed
GBBL,Garima Bikas Bank Limited,2:01,1100000,2013-10-03,2013-11-06,2013-10-03,Elite Capital Ltd.,Closed
GBBL,Garima Bikas Bank Limited,10:07,9076297,2017-04-26,2017-05-30,2017-04-12,Ace Capital Limited,Closed
GBBL,Garima Bikas Bank Limited,4:01,1122000,2015-02-26,2015-04-01,2015-02-12,Ace Capital Ltd.,Closed
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,01:00.5,3275000,2019-05-10,2019-06-13,2019-04-12,NIBL Ace Capital Limited,Closed
GDBL,Gandaki Bikas Bank Limited,01:00.3,700000,2013-08-10,2013-09-14,2013-07-15,Elite Capital Ltd.,Closed
GDBL,Gandaki Bikas Bank Limited,10:03,1056000,2016-01-30,2016-03-05,2016-01-14,Global IME Capital Ltd.,Closed
GDBL,Gandaki Bikas Bank Limited,4:01,4609816,2017-12-21,2018-01-24,2017-12-01,Prabhu Capital Limited,Closed
GFCL,Goodwill Finance Limited,10:06,2722500,2017-07-01,2017-08-05,2017-06-16,NIBL Capital Markets Ltd.,Closed
GHL,Ghalemdi Hydro Limited,1:02,11000000,2023-11-26,2024-01-01,2023-10-19,Muktinath Capital Limited,Closed
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,2:01,282500,2017-07-08,2017-08-12,2017-06-30,Civil Capital Market Ltd.,Closed
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1:01,1104575,2019-08-06,2019-09-09,2019-07-17,Global IME Capital Limited,Closed
GLICL,Gurans Life Insurance Company Ltd.,10:03.0,1166000,2013-10-31,2013-12-04,2013-10-20,NMB Capital Ltd.,Closed
GLICL,Gurans Life Insurance Company Ltd.,1:01,9385200,2020-06-28,2020-07-19,2020-03-05,NMB Capital Ltd,Closed
GLICL,Gurans Life Insurance Company Ltd.,2:01,2970000,2019-04-11,2019-05-15,2019-03-20,Laxmi Capital Market Ltd.,Closed
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,2:01,1468697,2016-10-06,2016-11-09,2016-09-04,NIBL Capital Market Limited,Closed
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,10:04,1973929,2017-10-28,2017-12-03,2017-10-13,NIBL Capital Market Limited,Closed
GRDBL,Green Development Bank Ltd.,1:04,4000000,2018-01-15,2018-03-06,2018-01-01,Laxmi Capital Market Limited,Closed
GUFL,Gurkhas Finance Ltd.,2:01,2893313,2017-05-14,2017-06-24,2017-05-03,NIBL Capital Markets Ltd.,Closed
HAMRO,Hamro Bikas Bank Ltd.,10:07,420700,2014-12-16,2015-01-19,2014-11-28,Growmore Merchant Banking Ltd.,Closed
HAMRO,Hamro Bikas Bank Ltd.,1:02,3058339,2017-05-20,2017-06-24,2017-04-24,NIBL Capital Markets Ltd.,Closed
HATH,Hathway Finance Company Limited,1:01,1500000,2017-08-21,2017-09-24,2017-07-24,Global IME Capital Limited,Closed
HBL,Himalayan Bank Limited,7:01,6427350,2016-11-10,2016-12-14,2016-10-26,Laxmi Capital Market Limited,Closed
HDHPC,Himal Dolakha Hydropower Company Limited,01:00.7,12000000,2023-06-05,2023-07-10,2023-05-10,Laxmi Capital Markets Limited,Closed
HGI,Himalayan General Insurance Co. Ltd,01:01.7,6420000,2017-07-11,2017-08-24,2017-06-30,NMB Capital Ltd.,Closed
HGI,Himalayan General Insurance Co. Ltd,01:01.5,1492000,2014-01-12,2014-02-15,2014-01-01,NMB Capital Ltd.,Closed
HIDCL,Hydorelectricity Investment and Development Company Ltd,1:01,110000000,2021-07-20,2021-08-24,2021-06-11,Global IME Capital Limited,Closed
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1:01,1141140,2020-08-09,2020-09-14,2020-06-29,Century Capital Market Limited,Closed
HURJA,Himalaya Urja Bikas Company Limited,1:01,9900000,2024-08-08,2024-08-28,2024-07-04,Nabil Investment Banking Ltd.,Closed
ICFC,ICFC Finance Limited,2:01,2134845,2015-11-23,2015-12-27,2015-10-29,Global IME Capital Ltd.,Closed
IGI,IGI Prudential insurance Limited,10:08,1200000,2016-08-06,2016-09-10,2016-07-21,Global IME Capital limited,Closed
IGI,IGI Prudential insurance Limited,10:08,4320000,2019-01-01,2019-02-04,2018-11-25,Global IME Capital Ltd.,Closed
IGI,IGI Prudential insurance Limited,10:04,4630344,2022-03-06,2022-03-27,2022-02-13,Global IME Capital Limited,Closed
IGI,IGI Prudential insurance Limited,1:01,2700000,2017-06-18,2017-07-23,2017-05-18,Global IME Capital Ltd.,Closed
IGI,IGI Prudential insurance Limited,2:01,500000,2011-06-26,2011-07-30,2011-06-16,Civil Capital Market Ltd,Closed
INDB,Innovative Development Bank Ltd.,4:01,262500,2014-08-12,2014-09-15,2014-07-30,NMB Capital Ltd.,Closed
INDB,Innovative Development Bank Ltd.,3:02,1000000,2016-01-21,2016-02-24,2016-01-10,NMB Capital Ltd.,Closed
JBBL,Jyoti Bikas Bank Limited,1:01,11043171,2017-05-10,2017-06-13,2017-04-27,Siddhartha Capital Limited,Closed
JBNL,Janata Bank Nepal Ltd.,2:01,10300000,2016-11-15,2016-12-25,2016-12-26,NCM Merchant Banking Limited,Closed
JOSHI,Joshi Hydropower Development Company Ltd,01:00.7,2414100,2025-07-31,2025-09-04,2025-06-22,Laxmi Capital Market Limited,Closed
JSLBB,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,1:01,288000,2019-06-27,2019-07-31,2019-06-17,Siddhartha Capital Limited,Closed
KADBL,Kasthamandap Development Bank Limited,2:01,990000,2017-01-01,2017-02-04,2016-12-15,Global IME Capital Limited,Closed
KADBL,Kasthamandap Development Bank Limited,10:03,1039500,2017-07-13,2017-08-16,2017-06-15,Global IME Capital Ltd,Closed
KADBL,Kasthamandap Development Bank Limited,4:01,330000,2015-12-23,2016-01-26,2015-12-11,Global IME Capital Ltd.,Closed
KBBL,Kailash Bikas Bank Ltd.,5:01,3160672,2017-02-16,2017-03-22,2016-12-29,Global IME Capital Ltd.,Closed
KBL,Kumari Bank Limited,2:01,13495833,2017-03-18,2017-04-22,2017-03-03,Siddhartha Capital Limited,Closed
KBL,Kumari Bank Limited,10:02,11938992,2018-05-10,2018-06-14,2018-04-23,NIBL Capital Market Limited,Closed
KDBL,Kasthamandap Development Bank Limited,4:01,1699742,2016-11-10,2016-12-14,2016-10-25,NCM Merchant Banking Limited,Closed
KEBL,Kailash Bikas Bank Ltd.,2:01,350880,2017-09-02,2017-10-31,2017-08-03,Global IME Capital Ltd,Closed
KEBL,Kailash Bikas Bank Ltd.,2:01,172000,2015-04-22,2015-05-26,2015-04-08,Global IME Capital Ltd.,Closed
KEBL,Kailash Bikas Bank Ltd.,11:04,80000,2014-01-18,2014-02-22,2013-12-20,Elite Capital Ltd.,Closed
KFL,Kaski Finance Limited,01:00.1,231994,2013-12-22,2014-01-25,2013-12-11,Growmore Merchant Banker Ltd.,Closed
KFL,Kaski Finance Limited,1:01,1837763,2015-10-31,2015-12-05,2015-05-30,NIBL Capital Markets Ltd.,Closed
KKBL,Kakre Bihar Bikash Bank Ltd,01:00.5,172500,2015-11-01,2015-12-05,2015-10-14,Growmore Merchant Banker Ltd.,Closed
KKHC,Khanikhola Hydropower Co. Ltd.,1:01,4657143,2025-08-19,2025-09-08,2025-07-11,Citizens Capital Limited,Open
KMBL,Kumari Bank Limited,10:03,2413137,2017-06-24,2017-07-29,2017-06-13,NIBL Capital Market Ltd.,Closed
KMFL,Kisan Lagubitta Bittiya Sanstha Limited,40:24.2,78000,2017-09-19,2017-10-23,2017-08-27,Civil Capital Market Ltd,Closed
KMFL,Kisan Lagubitta Bittiya Sanstha Limited,2:01,240250,2018-11-18,2018-12-23,2018-10-30,Civil Capital Market Ltd.,Closed
KNBL,Kankai Bikas Bank Ltd.,01:02.1,3210000,2017-07-23,2017-08-26,2017-07-03,Siddhartha Capital Ltd.,Closed
KNBL,Kankai Bikas Bank Ltd.,01:01.5,600000,2012-06-21,2012-07-25,2012-06-11,Growmore Merchant Banker Ltd.,Closed
KRBL,Karnali Development Bank Limited,01:02.3,3397500,2018-01-24,2018-03-14,2018-01-04,Prabhu Capital Limited,Closed
KRBL,Karnali Development Bank Limited,2:01,400000,2016-05-14,2016-07-13,2016-04-25,Growmore Merchant Banker Ltd,Closed
KSBBL,Kamana Sewa Bikas Bank Limited,10:01.5,3094155,2018-01-28,2018-03-18,2018-01-17,NMB Capital Limited,Closed
LBBL,Lumbini Bikas Bank Ltd.,10:01,2008878,2018-01-24,2018-03-06,2018-01-05,Prabhu Capital Limited,Closed
LBL,Laxmi Bank Limited,1:01,31590304,2017-04-15,2017-05-20,2017-03-31,Siddhartha Capital Limited,Closed
LBL,Laxmi Bank Limited,10:03,7013606,2015-06-20,2015-07-25,2015-06-03,NMB Capital Ltd.,Closed
LEC,Liberty Energy Company Limited,01:00.5,7500000,2024-12-01,2024-12-22,2024-11-06,Prabhu Capital Limited,Closed
LGIL,Lumbini General Insurance Co. Ltd.,1:01,3900000,2017-07-13,2017-08-16,2017-06-27,CBIL Capital Ltd.,Closed
LGIL,Lumbini General Insurance Co. Ltd.,10:02,1760000,2019-11-10,2019-12-15,2019-10-14,CBIL Capital Limited,Closed
LGIL,Lumbini General Insurance Co. Ltd.,10:06.3,965910,2014-02-02,2014-03-08,2014-01-16,Ace Capital Ltd.,Closed
LICN,Life Insurance Co. Nepal,01:00.9,23468000,2024-11-27,2025-01-01,2024-10-25,Nepal SBI Merchant Banking Limited,Closed
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1:01,1100000,2016-09-29,2016-11-07,2016-09-11,NMB Capital Limited,Closed
MBBL,Mahakali Bikas Bank Limited,1:02,800000,2014-05-04,2014-06-07,2014-04-04,Ace Capital Ltd.,Closed
MBL,Machhapuchhre Bank Limited,5:01,5552501,2015-10-03,2015-11-07,2015-08-17,Nabil Investment Banking Ltd.,Closed
MBL,Machhapuchhre Bank Limited,10:01.2,7918440,2017-07-19,2017-08-22,2017-05-30,NMB Capital Ltd.,Closed
MBL,Machhapuchhre Bank Limited,2:01,19322700,2016-12-03,2017-01-14,2017-01-15,Civil Capital Market Limited,Closed
MDB,Miteri Development Bank Limited,2:01,1056370,2016-10-16,2016-11-19,2016-09-22,Prabhu Capital Limited,Closed
MEGA,Mega  Bank Nepal Ltd.,4:01,8101438,2016-08-10,2016-09-13,2016-07-25,Global IME Capital limited,Closed
MEGA,Mega  Bank Nepal Ltd.,10:06.5,29785036,2017-09-11,2017-10-30,2017-01-19,Nabil Investment Banking Ltd.,Closed
MERO,Mero Microfinance Bittiya Sanstha Ltd.,1:01,3289000,2019-03-03,2019-04-07,2019-02-07,Global IME Capital Ltd,Closed
METRO,Metro Development Bank Limited,20:07,371000,2014-04-16,2014-05-20,2014-04-01,NCM Merchant Banking Ltd.,Closed
METRO,Metro Development Bank Limited,20:03,278504,2015-07-29,2015-08-22,2015-07-07,NCM Merchant Banking Ltd.,Closed
MFIL,Manjushree Finance Ltd.,01:01.8,4386375,2017-01-18,2017-02-21,2016-12-24,Ace Capital Ltd.,Closed
MFIL,Manjushree Finance Ltd.,100:05:00,362190,2018-03-21,2018-04-24,2018-02-21,Ace Capital Limited,Closed
MIDBL,Mission Development Bank Ltd.,2:01,575000,2015-10-06,2015-11-09,2015-09-29,Vibor capital Ltd.,Closed
MIDBL,Mission Development Bank Ltd.,1:01,1949250,2017-03-15,2017-04-18,2017-03-06,Vibor Capital Limited,Closed
MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,2:01,329890,2019-01-31,2019-03-13,2019-01-15,Kathmandu Capital Market Limited,Closed
