Sno,Merger 1,Merger 2,Merger 3,Merger 4,Merger 5,Final Merged,Sector,Action,Swap Ratio,Trading,Final Approval Date,Joint Transaction Date
99,Nepal Credit And Commercial Bank Limited,Infrastructure Development Bank Ltd.,Apex Development Bank Ltd.,Supreme Development Bank Ltd.,International Development Bank Ltd,Nepal Credit And Commercial Bank Limited,Commercial Bank,Merger,100 : 76 : 47 : 77 : 72,No,12/5/2016,1/1/2017
100,Civil Bank Ltd,International Leasing & Finance Co. Ltd.,,,,Civil Bank Ltd,Commercial Bank,Acquisition,100:74.72,Yes,9/27/2016,10/17/2016
101,Garima Bikas Bank Limited,Subhechha Bikas Bank Limited,,,,Garima Bikas Bank Limited,Development Bank,Merger,1:01,Yes,9/9/2016,9/20/2016
102,Kumari Bank Limited,Kasthamandap Development Bank Limited,Mahakali Bikas Bank Limited,Paschimanchal Finance Co. Ltd.,,Kumari Bank Limited,Commercial Bank,Acquisition,100:85:85:85,Yes,6/21/2017,6/26/2017
103,Bank of Kathmandu Ltd.,Lumbini Bank Limited,,,,Bank of Kathmandu Ltd.,Commercial Bank,Merger,100:83,Yes,7/8/2016,7/14/2016
104,Malika Development Bank Limited Promoter Share,Maha Laxmi Finance Ltd.,Siddharth Finance Ltd.,,,Mahalaxmi Bikas Bank Ltd.,Development Bank,Merger,1:01:01,No,8/17/2016,9/4/2016
105,Citizens Bank International Limited,Premier Finance Co. Ltd.,,,,Citizens Bank International Limited,Commercial Bank,Acquisition,100:28:00,Yes,7/4/2016,7/17/2016
106,Siddhartha Bank Limited,Business Universal Development Bank Ltd.,,,,Siddhartha Bank Limited,Commercial Bank,Merger,100:55:00,Yes,6/5/2016,6/21/2016
107,City Development Ltd.,Om Finance Ltd.,,,,Om Development Bank Ltd.,Commercial Bank,Merger,95.90107 : 104.62696,Yes,3/16/2016,4/4/2016
108,Citizens Bank International Limited,Nepal Housing & Merchant Finance Ltd.,Peoples Finance Ltd.,,,Citizens Bank International Limited,Commercial Bank,Acquisition,100:40:40,Yes,4/9/2015,5/8/2015
109,NDEP Development Bank Limited,Rising Development Bank Ltd.,,,,Deva Bikas Bank Limited,Development Bank,Acquisition,1:01,Yes,7/2/2015,7/10/2015
110,Biratlaxmi Bikas Bank Limited,Khandbari Development Bank Ltd,,,,Biratlaxmi Bikas Bank Limited,Corporate Debentures,Merger,100:75,No,4/6/2014,5/17/2014
111,Royal Merchant Banking and Finance Limited ,Rara Bikas Bank Limited,Api Finance Limited,,,Apex Development Bank Ltd.,Development Bank,Acquisition,1:01:01,No,7/9/2013,7/15/2013
112,Nepal Bangladesh Bank Limited,Nepal Shree Lanka Merchant Banking & Finance Ltd,,,,Nepal Bangladesh Bank Limited,Commercial Bank,Merger,2:01,Yes,1/2/2011,1/23/2011
113,Kasthamandap Development Bank Limited,Shikhar Finance Limited,,,,Kasthamandap Development Bank Limited,Development Bank,Merger,1:01,Yes,3/12/2012,4/13/2012
114,Infrastructure Development Bank Ltd.,Swastik Merchant Finance Co. Ltd.,,,,Infrastructure Development Bank Ltd.,Development Bank,Merger,1:01,No,6/11/2012,7/10/2012
115,Business Development Limited,Universal Finance Ltd.,,,,Business Universal Development Bank Ltd.,Development Bank,Merger,1:01,No,2/13/2012,4/4/2012
