Company,Normalized name,Bonus %,Cash %,Total %,Book Close,Fiscal Year,Status
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,9.50%,0.50%,10%,2024-12-26,2080/2081,Closed
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,8.60%,0.45%,9.05%,2023-11-23,2079/2080,Closed
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,8%,3%,11%,2022-12-30,2078/2079,Closed
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,10%,0.53%,10.53%,2021-11-16,2077/2078,Closed
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,9%,3.63%,12.63%,2020-12-25,2076/2077,Closed
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,6%,10%,16%,2019-11-15,2075/2076,Closed
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,10%,0.53%,10.53%,2018-12-30,2074/2075,Closed
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,13%,0.68%,13.68%,2017-11-10,2073/2074,Closed
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,15%,0.79%,15.79%,2017-03-14,2072/2073,Closed
RURU,Ru Ru Jalbidhyut Pariyojana Limited,15%,0.79%,15.79%,2024-10-16,2080/2081,Closed
RURU,Ru Ru Jalbidhyut Pariyojana Limited,0%,10.53%,10.53%,2024-01-02,2079/2080,Closed
RURU,Ru Ru Jalbidhyut Pariyojana Limited,10%,0.53%,10.53%,2022-10-13,2078/2079,Closed
RURU,Ru Ru Jalbidhyut Pariyojana Limited,10%,0.53%,10.53%,2021-09-23,2077/2078,Closed
RURU,Ru Ru Jalbidhyut Pariyojana Limited,0%,10.53%,10.53%,2021-09-23,2076/2077,Closed
SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,18%,0.95%,18.95%,2023-02-26,2078/2079,Closed
SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,31.05%,1.63%,32.68%,2021-12-03,2077/2078,Closed
SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,10.50%,0.55%,11.05%,2021-03-12,2076/2077,Closed
SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,13%,0.68%,13.68%,2019-11-21,2075/2076,Closed
SADBL,Shangrila Development Bank Ltd.,3.65%,0.19%,3.84%,2025-01-01,2080/2081,Closed
SADBL,Shangrila Development Bank Ltd.,5%,0.26%,5.26%,2023-11-27,2079/2080,Closed
SADBL,Shangrila Development Bank Ltd.,8.53%,0.45%,8.98%,2023-03-12,2078/2079,Closed
SADBL,Shangrila Development Bank Ltd.,10%,0.53%,10.53%,2021-10-22,2077/2078,Closed
SADBL,Shangrila Development Bank Ltd.,5%,0.26%,5.26%,2021-03-23,2076/2077,Closed
SADBL,Shangrila Development Bank Ltd.,0%,8.96%,8.96%,2019-12-31,2075/2076,Closed
SADBL,Shangrila Development Bank Ltd.,4%,5.45%,9.45%,2019-01-01,2074/2075,Closed
SADBL,Shangrila Development Bank Ltd.,2.50%,9.30%,11.80%,2018-06-18,2073/2074,Closed
SADBL,Shangrila Development Bank Ltd.,16.07%,0.85%,16.92%,2017-05-18,2072/2073,Closed
SADBL,Shangrila Development Bank Ltd.,20.85%,0%,20.85%,2016-02-04,2071/2072,Closed
SADBL,Shangrila Development Bank Ltd.,15%,6.30%,21.30%,2015-03-28,2070/2071,Closed
SADBL,Shangrila Development Bank Ltd.,0%,19.17%,19.17%,2013-02-26,2069/2070,Closed
SAEF,Sanima Equity Fund,0%,15%,15%,2024-09-11,2080/2081,Closed
SAEF,Sanima Equity Fund,0%,18%,18%,2023-10-01,2079/2080,Closed
SAEF,Sanima Equity Fund,0%,22%,22%,2022-09-25,2078/2079,Closed
SAEF,Sanima Equity Fund,0%,33%,33%,2021-09-17,2077/2078,Closed
SAEF,Sanima Equity Fund,0%,7%,7%,2020-10-30,2076/2077,Closed
SAEF,Sanima Equity Fund,0%,10%,10%,2019-09-06,2075/2076,Closed
SAGF,Sanima Growth Fund,0%,15.79%,15.79%,2025-08-22,2081/2082,Closed
SAGF,Sanima Growth Fund,0%,10%,10%,2024-09-11,2080/2081,Closed
SAHAS,Sahas Urja Limited,8%,0.42%,8.42%,2024-09-29,2080/2081,Closed
SALICO,Sagarmatha Lumbini Insurance Co. Limited,0%,15%,15%,2025-04-30,2080/2081,Closed
SALICO,Sagarmatha Lumbini Insurance Co. Limited,0%,5%,5%,2024-03-24,2079/2080,Closed
SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,14.25%,0.75%,15%,2023-08-06,2078/2079,Closed
SANIMA,Sanima Bank Limited,0%,5.26%,5.26%,2024-11-10,2080/2081,Closed
SANIMA,Sanima Bank Limited,9%,5.70%,14.70%,2023-10-09,2079/2080,Closed
SANIMA,Sanima Bank Limited,10%,0.98%,10.98%,2022-12-05,2078/2079,Closed
SANIMA,Sanima Bank Limited,17%,0.89%,17.89%,2021-10-24,2077/2078,Closed
SANIMA,Sanima Bank Limited,10%,3.60%,13.60%,2020-11-02,2076/2077,Closed
SANIMA,Sanima Bank Limited,10%,11.05%,21.05%,2019-09-30,2075/2076,Closed
SANIMA,Sanima Bank Limited,0%,14%,14%,2018-11-30,2074/2075,Closed
SANIMA,Sanima Bank Limited,16%,0%,16%,2017-09-22,2073/2074,Closed
SANIMA,Sanima Bank Limited,15%,0.79%,15.79%,2016-09-29,2072/2073,Closed
SANIMA,Sanima Bank Limited,20%,1.05%,21.05%,2015-10-01,2071/2072,Closed
SANIMA,Sanima Bank Limited,15%,0.79%,15.79%,2014-09-28,2070/2071,Closed
SANIMA,Sanima Bank Limited,10%,0.53%,10.53%,2013-09-27,2069/2070,Closed
SAPDBL,Saptakoshi Development Bank Ltd,6%,0%,6%,2020-03-23,2075/2076,Closed
SAPDBL,Saptakoshi Development Bank Ltd,3%,5.03%,8.03%,2018-12-23,2073/2074,Closed
SAPDBL,Saptakoshi Development Bank Ltd,4.78%,0.25%,5.03%,2018-01-07,2073/2074,Closed
SAPDBL,Saptakoshi Development Bank Ltd,11%,0.58%,11.58%,2016-12-26,2072/2073,Closed
SARBTM,Sarbottam Cement Limited,7%,3%,10%,2024-12-27,2080/2081,Closed
SARBTM,Sarbottam Cement Limited,0%,15%,15%,2024-04-12,2079/2080,Closed
SBBLJ,Sahayogi Bikas Bank Limited,0%,18.72%,18.72%,2020-11-03,2075/2076,Closed
SBBLJ,Sahayogi Bikas Bank Limited,0%,17%,17%,2019-02-25,2074/2075,Closed
SBBLJ,Sahayogi Bikas Bank Limited,20%,4.50%,24.50%,2017-12-14,2073/2074,Closed
SBBLJ,Sahayogi Bikas Bank Limited,22%,1.16%,23.16%,2016-04-11,2072/2073,Closed
SBBLJ,Sahayogi Bikas Bank Limited,28%,1.47%,29.47%,2015-12-24,2071/2072,Closed
SBBLJ,Sahayogi Bikas Bank Limited,26%,10%,36%,2014-12-24,2070/2071,Closed
SBBLJ,Sahayogi Bikas Bank Limited,26%,8.50%,34.50%,2013-03-12,2069/2070,Closed
SBCF,Sunrise Bluechip Fund,0%,19%,19%,2025-08-11,2081/2082,Closed
SBI,Nepal SBI Bank Limited,3.80%,6.85%,10.65%,2024-12-22,2080/2081,Closed
SBI,Nepal SBI Bank Limited,3.75%,6.80%,10.55%,2023-12-15,2079/2080,Closed
SBI,Nepal SBI Bank Limited,3%,7.53%,10.53%,2022-12-28,2078/2079,Closed
SBI,Nepal SBI Bank Limited,3.50%,1.81%,5.31%,2021-12-22,2077/2078,Closed
SBI,Nepal SBI Bank Limited,6%,3.47%,9.47%,2020-12-30,2076/2077,Closed
SBI,Nepal SBI Bank Limited,6%,10.84%,16.84%,2019-11-29,2075/2076,Closed
SBI,Nepal SBI Bank Limited,5%,10.79%,15.79%,2019-01-02,2074/2075,Closed
SBI,Nepal SBI Bank Limited,15.42%,0.81%,16.23%,2017-12-15,2073/2074,Closed
SBI,Nepal SBI Bank Limited,28%,1.53%,29.53%,2017-02-05,2072/2073,Closed
SBI,Nepal SBI Bank Limited,27%,1.42%,28.42%,2016-01-19,2071/2072,Closed
SBI,Nepal SBI Bank Limited,15%,7%,22%,2015-01-01,2070/2071,Closed
SBI,Nepal SBI Bank Limited,12.50%,7.50%,20%,2013-09-25,2069/2070,Closed
SBL,Siddhartha Bank Limited,0%,4%,4%,2024-12-29,2080/2081,Closed
SBL,Siddhartha Bank Limited,0%,4.21%,4.21%,2023-11-07,2079/2080,Closed
SBL,Siddhartha Bank Limited,12.50%,0.66%,13.16%,2022-12-28,2078/2079,Closed
SBL,Siddhartha Bank Limited,14.25%,0.75%,15%,2022-01-02,2077/2078,Closed
SBL,Siddhartha Bank Limited,12%,3%,15%,2021-01-12,2076/2077,Closed
SBL,Siddhartha Bank Limited,10%,15.26%,25.26%,2019-10-16,2075/2076,Closed
SBL,Siddhartha Bank Limited,5%,8.16%,13.16%,2018-12-24,2074/2075,Closed
SBL,Siddhartha Bank Limited,14%,0%,14%,2018-03-04,2073/2074,Closed
SBL,Siddhartha Bank Limited,39%,0%,39%,2017-02-02,2072/2073,Closed
SBL,Siddhartha Bank Limited,20%,1.05%,21.05%,2015-12-16,2071/2072,Closed
SBL,Siddhartha Bank Limited,12%,11.16%,23.16%,2014-10-20,2070/2071,Closed
SBL,Siddhartha Bank Limited,12%,10.11%,22.11%,2014-01-02,2069/2070,Closed
SCB,Standard Chartered Bank Limited,6.50%,19%,25.50%,2024-11-27,2080/2081,Closed
SCB,Standard Chartered Bank Limited,0%,19%,19%,2023-11-23,2079/2080,Closed
SCB,Standard Chartered Bank Limited,0%,16.51%,16.51%,2022-11-23,2078/2079,Closed
SCB,Standard Chartered Bank Limited,10%,3.06%,13.06%,2021-11-26,2077/2078,Closed
SCB,Standard Chartered Bank Limited,7%,4.84%,11.84%,2020-12-24,2076/2077,Closed
SCB,Standard Chartered Bank Limited,0%,22.50%,22.50%,2019-11-25,2075/2076,Closed
SCB,Standard Chartered Bank Limited,0%,17.50%,17.50%,2019-01-13,2074/2075,Closed
SCB,Standard Chartered Bank Limited,100%,5.26%,105.26%,2017-12-31,2073/2074,Closed
SCB,Standard Chartered Bank Limited,33.33%,1.75%,35.08%,2016-12-07,2072/2073,Closed
SCB,Standard Chartered Bank Limited,25%,19.21%,44.21%,2016-04-30,2071/2072,Closed
SCB,Standard Chartered Bank Limited,10%,41.50%,51.50%,2014-10-31,2070/2071,Closed
SCB,Standard Chartered Bank Limited,10%,40%,50%,2013-10-30,2069/2070,Closed
SDESI,Swadeshi Laghubitta Bittiya Sanstha Ltd.,20%,15%,35%,2019-11-22,2075/2076,Closed
SDESI,Swadeshi Laghubitta Bittiya Sanstha Ltd.,15%,0%,15%,2017-11-10,2073/2074,Closed
SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,19%,1%,20%,2023-01-04,2078/2079,Closed
SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,25%,1.32%,26.32%,2021-10-20,2077/2078,Closed
SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,18%,0.95%,18.95%,2020-12-31,2076/2077,Closed
SEF,Siddhartha Equity Fund,0%,20%,20%,2025-08-22,2081/2082,Closed
SEF,Siddhartha Equity Fund,0%,5%,5%,2023-08-30,2079/2080,Closed
SEF,Siddhartha Equity Fund,0%,9%,9%,2022-08-23,2078/2079,Closed
SEF,Siddhartha Equity Fund,0%,30%,30%,2021-08-16,2077/2078,Closed
SEF,Siddhartha Equity Fund,0%,7.50%,7.50%,2020-08-16,2076/2077,Closed
SEF,Siddhartha Equity Fund,0%,11%,11%,2019-08-18,2075/2076,Closed
SEOS,Siddhartha Equity Orineted Scheme,0%,12%,12%,2018-08-20,2074/2075,Closed
SEOS,Siddhartha Equity Orineted Scheme,0%,25%,25%,2017-08-28,2073/2074,Closed
SEOS,Siddhartha Equity Orineted Scheme,0%,16%,16%,2016-09-09,2072/2073,Closed
SFEF,Sunrise Focused Equity Fund,0%,13.50%,13.50%,2025-08-19,2081/2082,Closed
SFEF,Sunrise Focused Equity Fund,0%,4.50%,4.50%,2024-08-23,2080/2081,Closed
SFFIL,Shrijana Finance  (Bittaya Sanstha),13.59%,0.68%,14.27%,2021-03-14,2076/2077,Closed
SFFIL,Shrijana Finance  (Bittaya Sanstha),15%,0.79%,15.79%,2020-01-17,2075/2076,Closed
SFFIL,Shrijana Finance  (Bittaya Sanstha),15%,9.50%,24.50%,2018-12-28,2074/2075,Closed
SFFIL,Shrijana Finance  (Bittaya Sanstha),32.50%,1.71%,34.21%,2017-12-23,2073/2074,Closed
SFFIL,Shrijana Finance  (Bittaya Sanstha),50%,2.63%,52.63%,2016-12-02,2072/2073,Closed
SFFIL,Shrijana Finance  (Bittaya Sanstha),60%,3.15%,63.15%,2014-12-25,2070/2071,Closed
SFMF,Sunrise First Mutual Fund,0%,14%,14%,2025-08-19,2081/2082,Closed
SFMF,Sunrise First Mutual Fund,0%,12.50%,12.50%,2024-08-25,2080/2081,Closed
SFMF,Sunrise First Mutual Fund,0%,16%,16%,2023-10-01,2079/2080,Closed
SFMF,Sunrise First Mutual Fund,0%,12%,12%,2022-09-14,2078/2079,Closed
SFMF,Sunrise First Mutual Fund,0%,50%,50%,2021-09-01,2077/2078,Closed
SFMF,Sunrise First Mutual Fund,0%,7%,7%,2020-09-27,2076/2077,Closed
SGIC,Sanima GIC Insurance Limited,7.50%,0.39%,7.89%,2025-03-21,2080/2081,Closed
SHBL,Sahara Bikas Bank Ltd.,18%,0%,18%,2017-01-02,2072/2073,Closed
SHBL,Sahara Bikas Bank Ltd.,35%,0%,35%,2016-05-20,2071/2072,Closed
SHBL,Sahara Bikas Bank Ltd.,18%,0%,18%,2015-03-29,2070/2071,Closed
SHINE,Shine Resunga Development Bank Ltd.,3%,5%,8%,2024-12-18,2080/2081,Closed
SHINE,Shine Resunga Development Bank Ltd.,10.50%,0.55%,11.05%,2023-11-27,2079/2080,Closed
SHINE,Shine Resunga Development Bank Ltd.,13.30%,0.70%,14%,2022-12-27,2078/2079,Closed
SHINE,Shine Resunga Development Bank Ltd.,10.93%,0.57%,11.50%,2021-12-03,2077/2078,Closed
SHINE,Shine Resunga Development Bank Ltd.,13%,0%,13%,2020-12-31,2076/2077,Closed
SHINE,Shine Resunga Development Bank Ltd.,15%,0%,15%,2020-06-15,2075/2076,Closed
SHINE,Shine Resunga Development Bank Ltd.,17.70%,0.93%,18.63%,2018-10-02,2074/2075,Closed
SHINE,Shine Resunga Development Bank Ltd.,25%,0%,25%,2017-12-25,2073/2074,Closed
SHINE,Shine Resunga Development Bank Ltd.,27%,0%,27%,2016-11-30,2072/2073,Closed
SHINE,Shine Resunga Development Bank Ltd.,27%,1.42%,28.42%,2015-10-12,2071/2072,Closed
SHINE,Shine Resunga Development Bank Ltd.,10%,12%,22%,2014-11-07,2070/2071,Closed
SHINE,Shine Resunga Development Bank Ltd.,20%,0%,20%,2013-10-17,2069/2070,Closed
SHIVM,SHIVAM CEMENTS LTD,8.55%,0.45%,9%,2025-01-01,2080/2081,Closed
SHIVM,SHIVAM CEMENTS LTD,14.25%,0.75%,15%,2024-01-04,2079/2080,Closed
SHIVM,SHIVAM CEMENTS LTD,0%,10.53%,10.53%,2023-01-04,2078/2079,Closed
SHIVM,SHIVAM CEMENTS LTD,0%,29%,29%,2021-10-25,2077/2078,Closed
SHIVM,SHIVAM CEMENTS LTD,0%,24.21%,24.21%,2020-10-29,2076/2077,Closed
SHIVM,SHIVAM CEMENTS LTD,0%,15.78%,15.78%,2019-10-16,2075/2076,Closed
SHIVM,SHIVAM CEMENTS LTD,0%,15.78%,15.78%,2019-04-09,2074/2075,Closed
SHL,Soaltee Hotel Limited,10%,26.50%,36.50%,2024-11-28,2080/2081,Closed
SHL,Soaltee Hotel Limited,5%,26.58%,31.58%,2023-12-21,2079/2080,Closed
SHL,Soaltee Hotel Limited,5%,21.32%,26.32%,2022-12-22,2078/2079,Closed
SHL,Soaltee Hotel Limited,15%,11.31%,26.31%,2019-12-11,2075/2076,Closed
SHL,Soaltee Hotel Limited,10%,16.31%,26.31%,2018-12-12,2074/2075,Closed
SHL,Soaltee Hotel Limited,15%,6.05%,21.05%,2017-11-20,2073/2074,Closed
SHL,Soaltee Hotel Limited,10%,11.05%,21.05%,2016-12-12,2072/2073,Closed
SHL,Soaltee Hotel Limited,25%,6.57%,31.57%,2015-12-16,2071/2072,Closed
SHL,Soaltee Hotel Limited,40%,17.89%,57.89%,2014-12-14,2070/2071,Closed
SHL,Soaltee Hotel Limited,40%,12.63%,52.63%,2013-11-17,2069/2070,Closed
SHPC,Sanima Mai Hydropower Ltd.,10%,0.53%,10.53%,2024-12-24,2080/2081,Closed
SHPC,Sanima Mai Hydropower Ltd.,10%,0.53%,10.53%,2023-10-11,2079/2080,Closed
SHPC,Sanima Mai Hydropower Ltd.,0%,5.26%,5.26%,2022-09-28,2078/2079,Closed
SHPC,Sanima Mai Hydropower Ltd.,10%,0.53%,10.53%,2021-10-04,2077/2078,Closed
SHPC,Sanima Mai Hydropower Ltd.,10%,5%,15%,2020-12-28,2076/2077,Closed
SHPC,Sanima Mai Hydropower Ltd.,10%,0.53%,10.53%,2019-12-25,2075/2076,Closed
SHPC,Sanima Mai Hydropower Ltd.,10%,5%,15%,2018-10-11,2074/2075,Closed
SIC,Sagarmatha Insurance Co. Ltd.,12.40%,0.65%,13.05%,2023-02-10,2078/2079,Closed
SIC,Sagarmatha Insurance Co. Ltd.,20%,1.05%,21.05%,2022-04-29,2077/2078,Closed
SIC,Sagarmatha Insurance Co. Ltd.,11%,0.58%,11.58%,2021-07-01,2076/2077,Closed
SIC,Sagarmatha Insurance Co. Ltd.,86%,0%,86%,2019-06-16,2074/2075,Closed
SIC,Sagarmatha Insurance Co. Ltd.,22%,1.15%,23.15%,2016-12-28,2072/2073,Closed
SIC,Sagarmatha Insurance Co. Ltd.,23.75%,1.25%,25%,2016-06-30,2071/2072,Closed
SIC,Sagarmatha Insurance Co. Ltd.,15%,0.79%,15.79%,2015-07-01,2070/2071,Closed
SIC,Sagarmatha Insurance Co. Ltd.,20%,22.10%,42.10%,2014-06-05,2069/2070,Closed
SICL,Shikhar Insurance Co. Ltd.,10%,0.53%,10.53%,2025-02-12,2080/2081,Closed
SICL,Shikhar Insurance Co. Ltd.,16%,0.84%,16.84%,2023-01-31,2078/2079,Closed
SICL,Shikhar Insurance Co. Ltd.,27.77%,1.46%,29.23%,2021-03-10,2076/2077,Closed
SICL,Shikhar Insurance Co. Ltd.,29%,1.53%,30.53%,2017-12-08,2073/2074,Closed
SICL,Shikhar Insurance Co. Ltd.,60%,3.15%,63.15%,2016-12-09,2072/2073,Closed
SICL,Shikhar Insurance Co. Ltd.,24%,1.26%,25.26%,2016-03-03,2071/2072,Closed
SICL,Shikhar Insurance Co. Ltd.,20%,1.05%,21.05%,2015-02-20,2070/2071,Closed
SICL,Shikhar Insurance Co. Ltd.,20%,0%,20%,2014-06-06,2069/2070,Closed
SIFC,Shree Investment Finance Co. Ltd.,1.87%,0.10%,1.96%,2025-01-03,2080/2081,Closed
SIFC,Shree Investment Finance Co. Ltd.,0%,5.05%,5.05%,2024-01-05,2079/2080,Closed
SIFC,Shree Investment Finance Co. Ltd.,2.40%,5.20%,7.60%,2023-01-03,2078/2079,Closed
SIFC,Shree Investment Finance Co. Ltd.,7.70%,3.30%,11%,2022-01-06,2077/2078,Closed
SIFC,Shree Investment Finance Co. Ltd.,7.37%,3.16%,10.53%,2020-12-30,2076/2077,Closed
SIFC,Shree Investment Finance Co. Ltd.,2.35%,10.65%,13%,2019-12-17,2075/2076,Closed
SIFC,Shree Investment Finance Co. Ltd.,1.23%,8.77%,10%,2018-12-02,2074/2075,Closed
SIFC,Shree Investment Finance Co. Ltd.,26.57%,0%,26.57%,2018-06-18,2073/2074,Closed
SIFC,Shree Investment Finance Co. Ltd.,10.50%,0.55%,11.05%,2016-01-07,2072/2073,Closed
SIFC,Shree Investment Finance Co. Ltd.,11.61%,0.61%,12.22%,2015-09-23,2071/2072,Closed
SIFC,Shree Investment Finance Co. Ltd.,12%,0.63%,12.63%,2013-06-07,2070/2071,Closed
SIFC,Shree Investment Finance Co. Ltd.,10%,10.40%,20.40%,2013-11-18,2069/2070,Closed
SIGS2,Siddhartha Investment Growth Scheme - 2,0%,20%,20%,2025-08-22,2081/2082,Closed
SIGS2,Siddhartha Investment Growth Scheme - 2,0%,6.50%,6.50%,2023-08-30,2079/2080,Closed
SIGS2,Siddhartha Investment Growth Scheme - 2,0%,10%,10%,2022-08-23,2078/2079,Closed
SIGS2,Siddhartha Investment Growth Scheme - 2,0%,30%,30%,2021-08-16,2077/2078,Closed
SIGS2,Siddhartha Investment Growth Scheme - 2,0%,5%,5%,2020-08-16,2076/2077,Closed
SIGS3,Siddhartha Investment Growth Scheme 3,0%,17%,17%,2025-08-22,2081/2082,Closed
SIGS3,Siddhartha Investment Growth Scheme 3,0%,7%,7%,2024-08-29,2080/2081,Closed
SIKLES,Sikles Hydropower Limited,0%,6%,6%,2023-12-29,2079/2080,Closed
SIKLES,Sikles Hydropower Limited,0%,10.53%,10.53%,2023-03-27,2078/2079,Closed
SIL,Siddhartha Insurance Ltd.,9%,0.47%,9.47%,2023-01-02,2078/2079,Closed
SIL,Siddhartha Insurance Ltd.,15%,0.79%,15.79%,2022-03-31,2077/2078,Closed
SIL,Siddhartha Insurance Ltd.,12%,3.79%,15.79%,2021-05-28,2076/2077,Closed
SIL,Siddhartha Insurance Ltd.,15.48%,0%,15.48%,2019-06-13,2074/2075,Closed
SIL,Siddhartha Insurance Ltd.,20%,1.05%,21.05%,2017-11-01,2073/2074,Closed
SIL,Siddhartha Insurance Ltd.,30%,1.57%,31.57%,2016-12-23,2072/2073,Closed
SIL,Siddhartha Insurance Ltd.,25%,0%,25%,2016-03-24,2071/2072,Closed
SIL,Siddhartha Insurance Ltd.,10%,0.52%,10.52%,2015-06-17,2070/2071,Closed
SINDU,Sindhu Bikash Bank Ltd,11.49%,0.60%,12.09%,2020-01-01,2075/2076,Closed
SINDU,Sindhu Bikash Bank Ltd,5.95%,0.31%,6.26%,2018-07-06,2073/2074,Closed
SINDU,Sindhu Bikash Bank Ltd,16.80%,0.88%,17.68%,2016-10-20,2072/2073,Closed
SINDU,Sindhu Bikash Bank Ltd,12.50%,0.66%,13.16%,2015-10-30,2071/2072,Closed
SINDU,Sindhu Bikash Bank Ltd,7.50%,0.40%,7.90%,2015-01-16,2070/2071,Closed
SINDU,Sindhu Bikash Bank Ltd,0%,4.50%,4.50%,2013-12-16,2069/2070,Closed
SJLIC,SuryaJyoti Life Insurance Company Limited,0%,20%,20%,2024-12-06,2080/2081,Closed
SJLIC,SuryaJyoti Life Insurance Company Limited,10.26%,24.74%,35%,2024-04-19,2079/2080,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,13.30%,0.70%,14%,2025-01-01,2080/2081,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,14.25%,0.75%,15%,2024-01-01,2079/2080,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,26%,1.37%,27.37%,2023-03-12,2078/2079,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,25%,1.32%,26.32%,2021-12-20,2077/2078,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,25%,1.32%,26.32%,2020-12-31,2076/2077,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,27.25%,1.43%,28.68%,2019-12-30,2075/2076,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,25%,1.31%,26.31%,2019-01-17,2074/2075,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,25%,1.32%,26.32%,2017-11-26,2073/2074,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,25%,1.31%,26.31%,2016-12-29,2072/2073,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,25%,1.31%,26.31%,2015-12-28,2071/2072,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,0%,15.78%,15.78%,2014-12-08,2070/2071,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,15%,11.31%,26.31%,2013-12-27,2069/2070,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,13.50%,0.71%,14.21%,2025-04-24,2080/2081,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,7%,0.37%,7.37%,2024-02-25,2079/2080,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,22%,1.16%,23.16%,2023-03-14,2078/2079,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,25%,0%,25%,2021-10-29,2077/2078,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,12.39%,0.65%,13.04%,2021-02-27,2076/2077,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,26.75%,1.40%,28.15%,2019-12-01,2075/2076,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,20%,1.05%,21.05%,2018-09-21,2074/2075,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,16.66%,0.88%,17.54%,2017-10-09,2073/2074,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,30.40%,1.60%,32%,2016-10-04,2072/2073,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,34.20%,1.80%,36%,2015-12-01,2071/2072,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,27.39%,20%,47.39%,2014-10-22,2070/2071,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,0%,19%,19%,2013-12-19,2069/2070,Closed
SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,20%,0%,20%,2021-12-16,2077/2078,Closed
SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,15.35%,0.81%,16.15%,2021-04-01,2076/2077,Closed
SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,44.47%,2.34%,46.81%,2019-12-07,2075/2076,Closed
SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,42.75%,2.25%,45%,2018-12-10,2074/2075,Closed
SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,19%,1%,20%,2017-12-23,2073/2074,Closed
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,10%,5%,15%,2023-06-29,2078/2079,Closed
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,32%,1.68%,33.68%,2019-12-06,2075/2076,Closed
SLCF,Sanima Large Cap Fund,0%,21.05%,21.05%,2025-08-22,2081/2082,Closed
SLCF,Sanima Large Cap Fund,0%,4%,4%,2021-09-17,2077/2078,Closed
SLI,Sanima Life Insurance Limited,4.20%,0.22%,4.42%,2022-06-22,2076/2077,Closed
SLICL,Surya Life Insurance Company Limited,12.70%,0.67%,13.37%,2021-12-24,2076/2077,Closed
SLICL,Surya Life Insurance Company Limited,5%,5.53%,10.53%,2021-01-01,2075/2076,Closed
SLICL,Surya Life Insurance Company Limited,12%,0%,12%,2019-06-11,2074/2075,Closed
SLICL,Surya Life Insurance Company Limited,12%,0.63%,12.63%,2018-07-01,2073/2074,Closed
SLICL,Surya Life Insurance Company Limited,10%,0%,10%,2017-08-25,2072/2073,Closed
SLICL,Surya Life Insurance Company Limited,5%,0%,5%,2017-04-10,2071/2072,Closed
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,5%,0.26%,5.26%,2025-02-06,2080/2081,Closed
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,5.42%,0.29%,5.71%,2024-04-01,2079/2080,Closed
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,15%,3%,18%,2023-03-15,2078/2079,Closed
