sn,Name,Symbol,Category,First Traded Price,First Traded Date,Last Traded Price,Last Traded Date,Note
600,Corporate Development Bank Limited,CORBL,Development Banks,382.0,2011-08-17,2527.55,2025-07-07,
601,Shine Resunga Development Bank Ltd.,SHINE,Development Banks,315.0,2011-10-31,402.71,2025-07-07,
602,Muktinath Bikas Bank Ltd.,MNBBL,Development Banks,312.0,2011-11-03,373.93,2025-07-07,
603,Shangrila Development Bank Ltd.,SADBL,Development Banks,314.0,2011-11-16,407.4,2025-07-07,
604,Multipurpose Finance Company  Limited,MPFL,Finance Company,415.0,2012-02-12,596.83,2025-07-07,
605,Bhargav Bikash Bank Ltd.,BHBL,Development Banks,111.0,2012-04-02,199.0,2019-05-14,
606,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,Microfinance,141.0,2012-06-10,751.99,2025-07-07,
607,Janata Bank Nepal Ltd.,JBNL,Commercial Banks,187.0,2012-07-15,214.0,2019-08-26,
608,Summit Laghubitta Bittiya Sanstha Limited,SMFDB,Microfinance,172.0,2012-07-18,967.0,2023-07-13,
609,Manjushree Finance Ltd.,MFIL,Finance Company,150.0,2012-11-08,601.19,2025-07-07,
610,Nepal Bank Limited,NBL,Commercial Banks,395.0,2012-12-17,262.6,2025-07-07,
611,Civil Bank Ltd,CBL,Commercial Banks,171.0,2013-03-03,214.0,2023-02-23,
612,Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,Microfinance,153.0,2013-06-19,765.0,2024-05-27,
613,NLG Insurance Company Ltd.,NLG,Non Life Insurance,275.0,2013-07-17,826.88,2025-07-07,
614,Mega  Bank Nepal Ltd.,MEGA,Commercial Banks,181.0,2013-09-08,219.0,2023-01-10,
615,Sindhu Bikash Bank Ltd,SINDU,Development Banks,140.0,2013-09-08,904.54,2025-07-07,
616,Synergy Finance Ltd.,SYFL,Finance Company,80.0,2013-09-19,145.0,2017-10-11,
617,Hamro Bikas Bank Ltd.,HAMRO,Development Banks,160.0,2013-10-08,133.0,2018-07-15,
618,RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC,Microfinance,561.0,2013-10-08,775.0,2023-07-06,
619,Sana Kisan Bikas Bank Ltd,SKBBL,Microfinance,605.0,2013-10-08,1245.0,2022-03-16,
620,Sanima Mai Hydropower Ltd.,SHPC,Hydropower,324.0,2014-01-22,581.95,2025-07-07,
