Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
83,2025-08-24,559,NLG,NLG Insurance Company Ltd.,808.5,815,805.2,,4052,3280153.1,805,1382,738.1,2025-08-24T12:49:26.594764,810,34,809.51,
84,2025-08-24,561,SINDU,Sindhu Bikash Bank Ltd,757.7,760,757.7,,1230,933069.1,755.21,1482,541.3,2025-08-24T12:43:30.625148,758,34,758.59,
85,2025-08-24,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,885,902.7,885,,28667,25555823.8,878.56,1099,780,2025-08-24T12:49:15.833992,888.8,144,891.47,
86,2025-08-24,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,792,792,784.2,,441,346494.6,786.75,987,667.1,2025-08-24T12:50:06.742742,785.5,14,785.7,
87,2025-08-24,587,RLFL,Reliance Finance Ltd.,476.24,485.7,476.24,,1680,809721.2,476.24,838,453,2025-08-24T12:48:00.000919,478.2,22,481.97,
88,2025-08-24,591,SHPC,Sanima Mai Hydropower Ltd.,562,562,558,,21953,12283065,557.48,684.9,438.1,2025-08-24T12:49:51.064701,558.1,87,559.51,
89,2025-08-24,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,1057,1090,1057,,313,336768.8,1077.35,1270,950.6,2025-08-24T12:41:18.002009,1070.6,20,1075.93,
90,2025-08-24,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1491,1569.7,1491,,461,698646,1521.4,2019,1360,2025-08-24T12:15:29.643894,1569.7,9,1515.5,
91,2025-08-24,610,RIDI,Ridi Power Company Limited,251.1,255.5,250.5,,20771,5244579.1,250.57,302,210,2025-08-24T12:49:42.00531,250.7,82,252.49,
92,2025-08-24,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1073,1073,1052,,288,307196,1063.82,1367.3,990,2025-08-24T12:35:54.968245,1052,4,1066.65,
93,2025-08-24,686,BARUN,Barun Hydropower Co. Ltd.,369.8,369.8,360,,21673,7844081.8,363.91,589,296.1,2025-08-24T12:44:27.634477,360,76,361.92,
94,2025-08-24,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,842,842,830,,366,306565,826.09,1008,770,2025-08-24T12:18:23.663627,830,9,837.6,
