,Unnamed: 0,company.name,company.code,company.cat
362,422394,NMB Sulav Investment Fund - 2,NSIF2,Mutual Fund
363,422445,Siddhartha Premier Insurance Limited,SPIL,Non life insurance
364,422486,Siddhartha Premier Insurance Limited Promoter Share,SPILPO,Promoter Share
365,423726,Sanima Middle Tamor Hydropower Limited,TAMOR,Hydropower
366,424515,Sagarmatha Jalabidhyut Company Limited,SMJC,Undetermined
367,424525,Molung Hydropower Company Limited,MHCL,Hydropower
368,425836,Sunrise Focused Equity Fund,SFEF,Mutual Fund
369,427191,NIBL Growth Fund,NIBLGF,Mutual Fund
370,427737,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,Microfinance
371,428277,BPW Laghubitta Bittiya Sanstha Limited,BPW,Microfinance
372,428541,Makar Jitumaya Suri Hydropower Limited,MAKAR,Hydropower
373,428938,Swabhimaan Laghubitta Bittiya Sanstha LTD Promoter share,SMFBSP,Promoter Share
374,429917,Sagarmatha Lumbini Insurance Co. Limited,SALICO,Non life insurance
375,430402,Mai Khola Hydropower Limited,MKHL,Hydropower
376,431125,Sanima Reliance Life Insurance Limited,SRLI,Life insurance
377,433108,IGI Prudential insurance Limited,IGI,Non life insurance
378,434443,Dolti Power Company Limited,DOLTI,Hydropower
379,434444,Bhugol Energy Development Company Limited,BEDC,Undetermined
380,434445,Prabhu Smart Fund,PRSF,Mutual Fund
381,434719,City Hotel Limited,CITY,Undetermined
382,436085,Menchhiyam Hydropower Limited,MCHL,Hydropower
383,436644,Ingwa Hydropower Limited,IHL,Hydropower
384,436975,Himalayan Life Insurance Limited,HLI,Life insurance
385,439420,Modi Energy Limited,MEL,Undetermined
386,439421,Rawa Energy Development Limited,RAWA,Undetermined
387,440155,10.25% Citizens Bank Debenture 2086,CIZBD86,Debenture
388,441479,United Ajod Insurance Limited,UAIL,Non life insurance
389,441623,Samaj Laghubittya Bittiya Sanstha Limited,SAMAJ,Undetermined
390,442274,Himalayan Laghubitta Bittiya Sanstha Limited,HLBSL,Microfinance
391,444052,RBB Mutual Fund 2,RMF2,Mutual Fund
392,445356,IME Life Insurance Company Limited,ILI,Life insurance
393,445386,Nepal Republic Media Limited,NRM,Undetermined
394,446709,Ghorahi Cement Industry Limited,GCIL,Undetermined
395,446722,Upper Syange Hydropower Limited,USHL,Hydropower
396,446723,Three Star Hydropower Limited,TSHL,Hydropower
397,446890,Citizens Super 30 Mutual Fund,C30MF,Mutual Fund
398,447421,National Laghubitta Bittiya Sanstha Limited,NMFBS,Microfinance
399,448361,Kutheli Bukhari Small Hydropower Limited,KBSH,Hydropower
400,449500,Laxmi Sunrise Bank Limited,LSL,Commercial Bank
401,449593,Nadep Laghubitta Bittiya Sanstha Ltd. Promoter Share,NADEPP,Promoter Share
402,449834,Laxmi Sunrise Bank Limited Promoter Share,LSLPO,Promoter Share
403,449886,Himalayan Life Insurance Limited Promoter Share,HLIPO,Promoter Share
404,450177,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited Promoter Share,USLBP,Promoter Share
405,452753,Reliable Nepal Life Insurance Limited,RNLI,Life insurance
406,453563,Laxmi Value Fund 2,LVF2,Mutual Fund
407,453602,Sun Nepal Life Insurance Company Limited,SNLI,Life insurance
408,454160,Manakamana Engineering Hydropower Limited,MEHL,Hydropower
409,454161,Upper Lohore Khola Hydropower Company Limited,ULHC,Hydropower
410,455015,Citizen Life Insurance Company Limited,CLI,Life insurance
411,455640,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited Promoter,SKBBLP,Promoter Share
412,456670,Sadhana Laghubitta Bittiya Sanstha Limited Promoter Shares,SDLBSLP,Promoter Share
413,457261,Mandu Hydropower Limited,MANDU,Hydropower
414,457298,Hathway Investment Nepal Limited,HATHY,Undetermined
415,457546,Bhagawati Hydropower Development Company Limited,BGWT,Hydropower
416,457547,Mid Solu Hydropower Limited,MSHL,Hydropower
417,459016,Sonapur Minerals And Oil Limited,SONA,Undetermined
418,461211,8.5% Machhapuchchhre Debenture 2087,MBLD87,Debenture
419,461877,Mathillo Mailun Khola Jalvidhyut Limited,MMKJL,Undetermined
420,465073,Citizen Investment Trust Promoter Share,CITPO,Promoter Share
421,465602,Nepal Reinsurance Company Limited Promoter Share,NRICP,Promoter Share
422,465666,Trishuli Jal Vidhyut Company Limited,TVCL,Undetermined
423,465889,10.50% Everest Bank Limited Debenture 2085,EBLD85,Debenture
424,467090,Muktinath Krishi Company Limited,MKCL,Undetermined
425,467509,"Himalayan Bank Limited Bond""",HBLD86,Government Bond
426,467656,Jyoti Bikash Bank Bond 2087,JBBD87,Government Bond
427,467679,11% KBL Debenture 2089,KBLD89,Debenture
428,467912,Prabhu Mahalaxmi Life Insurance Limited,PMLI,Life insurance
429,468236,8.5% RBBL Debenture 2083,RBBD83,Debenture
430,468605,Nepal Warehousing Company Limited,NWCL,Undetermined
431,468624,Vision Lumbini Urja Company Limited,VLUCL,Undetermined
432,468625,Chirkhwa Hydropower Limited,CKHL,Hydropower
433,470453,9% Nepal SBI Bank Rinpatra 2089,SBID89,Commercial Bank
434,470750,Siddhartha Investment Growth Scheme 3,SIGS3,Undetermined
435,471377,Himalayan Reinsurance Limited,HRL,Non life insurance
436,472606,Himalayan 80-20,H8020,Undetermined
437,475885,National Laghubitta Bittiya Sanstha Limited Promoter,NMFBSP,Promoter Share
438,476904,Prabhu Mahalaxmi Life Insurance Limited promotor,PMLIP,Promoter Share
439,478464,NIC ASIA Growth Fund-2,NICGF2,Mutual Fund
440,480105,IGI Prudential insurance Limited Promoter Share,IGIPO,Promoter Share
441,480743,Sagarmatha Lumbini Insurance Co. Limited Promoter Share,SALICOPO,Promoter Share
442,481680,9% Kamana Sewa Bikas Bank Limited Debenture 2087,KSBBLD87,Debenture
443,486096,Sarbottam Cement Limited,SARBTM,Undetermined
444,488283,9% Nabil Debenture 2087,NABILD87,Debenture
445,488285,10% NIMB Debenture 2090,NIMBD90,Debenture
446,488904,11% L.B.B.L. Debenture 2089,LBBLD89,Debenture
447,489195,10.75% SBL Debenture 2089,SBLD89,Debenture
448,493585,11% Mahalaxmi Debenture 2089,MLBLD89,Debenture
449,493918,10% Citizens Bank Debenture 2090,CIZBD90,Debenture
450,494521,10.30% Standard Chartered Bank Limited Debenture,SCBD,Debenture
451,494544,Kumari Sabal Yojana,KSY,Undetermined
452,495016,10% NIC Asia Debenture 2085/86,NICAD 85/86,Debenture
453,497432,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,NMLBBL,Microfinance
454,498192,Muktinath Debenture 2084/85,MND84/85,Debenture
455,498253,NIC ASIA Rinpatra 2088,NICD88,Undetermined
456,499320,Swarojgar Laghubitta Bittiya Sanstha Ltd.,SLBBL,Microfinance
457,500005,Nepal Infrastructure Bank Limited Promoter,NIFRAP,Promoter Share
458,500473,NIBL Stable Fund,NIBLSTF,Mutual Fund
459,504904,"BOK Debenture 2086 """"KA""""",BOKD86KA,Debenture
460,505096,United Ajod Insurance Limited Promoter Share,UAILPO,Promoter Share
461,505227,10.25% Sanima Debenture 2089,SBD89,Debenture
462,505228,10.15% Prime Debenture 2084,PBD84,Debenture
463,505241,"Global IME Bank Debenture""",GBILD84/85,Debenture
464,509390,NMB Debenture 10.75%-2089/90,NMBD89/90,Debenture
465,515492,10% KBL Debenture 2090,KBLD90,Debenture
466,515941,Matribhumi Lagubitta Bittiya Sanstha Limited,MATRI,Undetermined
467,517008,Sampada Laghubitta Bittiya Sanstha Limited,SMPDA,Microfinance
468,526171,Unique Nepal Laghubitta Bittiya Sanstha Limited Promoter,UNLBP,Promoter Share
469,526646,Matribhumi Lagubitta Bittiya Sanstha Limited Promoter,MATRIP,Promoter Share
470,529525,CEDB Holdings Limited,CHDC,Undetermined
471,529554,Garima Debenture,GBBD85,Debenture
472,529608,Global IME Bank Debenture,GBILD84/85,Debenture
473,530853,"BOK Debenture 2086 ""KA""",BOKD86KA,Debenture
474,531779,Himalayan Bank Limited Bond,HBLD86,Government Bond
475,541026,Nerude Mirmire Laghubitta Bittiya Sanstha Limited Promoter,NMLBBLP,Promoter Share
476,545897,Muktinath Mutual Fund 1,MNMF1,Mutual Fund
477,547443,CYC Nepal Laghubitta Bittiya Sanstha Limited Promoter,CYCLP,Promoter Share
478,547562,Swarojgar Laghubitta Bittiya Sanstha Ltd. Promoter Share,SLBBLP,Promoter Share
479,548000,Sanima GIC Insurance Limited Promoter Share,SGICP,Promoter Share
480,550332,Guardian Micro Life Insurance Limited,GMLI,Life insurance
481,552037,Sampada Laghubitta Bittiya Sanstha Limited Promoter,SMPDAP,Promoter Share
482,552796,Garima Samriddhi Yojana,GSY,Undetermined
483,555884,9% ICFC Finance Limited Debenture 2088,ICFCD88,Debenture
484,556401,Mahila Lagubitta Bittiya Sanstha Limited Promoter,MLBSLP,Promoter Share
485,560623,Everest Bank Limited Energy Bond,EBLEB89,Government Bond
486,561941,Nepal Micro Insurance Company Limited,NMIC,Non life insurance
487,562492,Crest Micro Life Insurance Limited,CREST,Life insurance
488,564390,NMB Hybrid Fund L- II,NMBHF2,Mutual Fund
489,567031,Om Megashree Pharmaceuticals Limited,OMPL,Undetermined
490,568126,Wean Nepal Laghubitta Bittiya Sanstha Limited Promoter Share,WNLBP,Promoter Share
491,570798,Everest Bank Limited Debenture 2091,EBLD91,Debenture
492,571113,MBL Equity Fund,MBLEF,Mutual Fund
493,572082,Pure Energy Limited,PURE,Undetermined
494,574168,Sanima Reliance Life Insurance Limited Promoter Share,SRLIP,Promoter Share
495,578352,Reliable Samriddhi Yojana,RSY,Undetermined
