,Unnamed: 0,company.name,company.code,company.cat
94,7429,Nilgiri Bikas Bank Limited,xNBBL,Development Bank
95,7780,Suryadarshan Finance Company Limited,xSFCL,Finance Company
96,7836,Alpine Development Bank Limited,xADBL,Development Bank
97,8300,Zenith Finance Limited,xZFL,Finance Company
98,8387,Grand Bank Limited Promoter Share,xGBLPS,Promoter Share
99,8497,ACE Development Bank Limited Promoter Share,xADBLPS,Promoter Share
100,8570,Udhyam Bikas Bank Limited,xUBBL,Development Bank
101,8952,Swastik Merchant Finance Co. Ltd.,xSMFCL,Finance Company
102,9254,Subha Laxmi Finance Co. Ltd.,xSLFCL,Finance Company
103,9521,Gaurishankar Development Bank Ltd.,xGDBL,Development Bank
104,9570,Unique Finance Ltd.,xUFL,Finance Company
105,9671,IME Financial Institution Promoter Share,xIFIPS,Promoter Share
106,10421,Patan Finance Limited Promoter Share,xPFLPS,Promoter Share
107,10660,Seti Finance Limited,xSFL,Finance Company
108,10756,Yeti Finance Ltd. Promoter Share,xYFLPS,Promoter Share
109,12399,MachhaPuchhre  Bank Limited Promotor Share,xMBLPS,Promoter Share
110,12620,Gaurishankar Development Bank Ltd. Promoter Share,xGDBLPS,Promoter Share
111,12764,Kabeli Bikas Bank Limited,xKBBL,Development Bank
112,13058,Civil Merchant  Bittiya Sanstha Limited Promoter Share,xCMBSLPS,Promoter Share
113,13599,Butwal Finance Limited Promoter Share,xBFLPS,Promoter Share
114,14502,Valley Finance Limited,xVFL,Finance Company
115,14503,Western Development Bank Limited,xWDBL,Development Bank
116,14509,Araniko Development Bank Limited,xADBL,Development Bank
117,14586,Tinau Development Bank Limited,xTDBL,Development Bank
118,14938,Janaki Finance Limited Promoter Share,xJFLPS,Promoter Share
119,15158,Everest Finance Limited Promoter Share,xEFLPS,Promoter Share
120,16334,Professional Bikas Bank Ltd.,xPBBL,Development Bank
121,17813,KIST Bank Limited Promoter Share,xKBLPS,Promoter Share
122,18417,Siddhartha Bank Limited Promoter Share,xSBLPS,Promoter Share
123,20200,Nepal Express Finance Limited Promoter Share,xNEFLPS,Promoter Share
124,20218,Shree Investment & Finance Co. Ltd. Promoter Share,xSIFCLPS,Promoter Share
125,20324,CMB Finance Ltd. Promoter Share,xCFLPS,Promoter Share
126,21633,Supreme Development Bank Ltd. Promoter Share,xSDBLPS,Promoter Share
127,21871,Rara Bikas Bank Limited,xRBBL,Development Bank
128,22951,Country Development Bank Ltd.,xCDBL,Development Bank
129,24342,Triveni Bikas Bank Ltd Promoter Share,xTBBLPS,Promoter Share
130,25417,Om Finance Limited Promoter Share,xOFLPS,Promoter Share
131,25831,Purnima Bikas Bank Ltd.,xPBBL,Development Bank
132,26023,Union Finance Co. Ltd. Promoter Share,xUFCLPS,Promoter Share
133,26200,Biratlaxmi Development Bank Ltd. Promoter Share,xBDBLPS,Promoter Share
134,26228,Laxmi Bank Limited Promoter Share,xLBLPS,Promoter Share
135,26816,Sahayogi Bikas Bank Ltd. Promoter Share,xSBBLPS,Promoter Share
136,28727,Clean Energy Development Bank Ltd. Promoter Share,xCEDBLPS,Promoter Share
137,29023,Hama Merchant & Finance Ltd.,xHMFL,Finance Company
138,31171,Imperial Finance Ltd Promoter Share,xIFLPS,Promoter Share
139,32033,Society  Development Bank Limited Promoter Share,xSDBLPS,Promoter Share
140,32531,Bagheshowari Development Bank  Ltd. Promoer Share,xBDBLPS,Development Bank
141,32982,Nepal Investment Bank Ltd. Promoter Share,xNIBLPS,Promoter Share
142,32992,Prabhu Finance Ltd. Promoter Share,xPFLPS,Promoter Share
143,35986,Bagmati Development Bank Ltd.,xBDBL,Development Bank
144,36463,Citizens Bank Internatioal Limited Promoter Share,xCBILPS,Promoter Share
145,36651,Maha Laxmi Finance Co. Ltd. Promoter Share,xMLFCLPS,Promoter Share
146,38144,NIDC Capital Markets Ltd. Promoter Share,xNCMLPS,Promoter Share
147,38268,International Leasing & Finance Co. Ltd.,xILFCL,Finance Company
148,39281,Shrijana Finance Ltd. Promoter Share,xSFLPS,Promoter Share
149,39901,Gulmi Bikas Bank Ltd.,xGBBL,Development Bank
150,39909,Kanchan Development Bank Limited,xKDBL,Development Bank
151,40215,Tourism Development Bank Limited,xTDBL,Development Bank
