,company.code,company.name,company.cat
215,HDHPC,Himal Dolakha Hydropower Company Limited,Hydro Power
216,NRIC,Nepal Reinsurance Company Limited,Others
217,SRBLD83,10.25% Sunrise Bank Debenture 2083,Corporate Debenture
218,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,Microfinance
219,NMB50,NMB 50,Mutual Fund
220,SFMF,Sunrise First Mutual Fund,Mutual Fund
221,NIBD2082,10.5 % NEPAL INVESTMENT DEBENTURE 2082,Corporate Debenture
222,AIL,Ajod Insurance Limited,Non Life Insurance
223,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,Microfinance
224,NRN,NRN Infrastructure and Development Limited,Investment
225,RLI,Reliance Life Insurance Limited,Life Insurance
226,KBLD86,10.25% KBL Debenture 2086,Corporate Debenture
227,NICD83/84,10.25% NIC Asia Debenture 2083/84,Corporate Debenture
228,GBD80/81,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,Corporate Debenture
229,SBIBD86,10% Nepal SBI Bank Debenture 2086,Corporate Debenture
230,LUK,Laxmi Unnati Kosh,Mutual Fund
231,LEC,Liberty Energy Company Limited,Hydro Power
232,GIC,General Insurance Company Nepal Ltd,Non Life Insurance
233,SSHL,Shiva Shree Hydropower Ltd,Hydro Power
234,SGI,Sanima General Insurance Limited,Non Life Insurance
235,PBLD84,10% Prabhu Bank Debenture 2084,Corporate Debenture
236,CMF2,CITIZENS MUTUAL FUND 2,Mutual Fund
237,HBLD83,10% Himalayan Bank Debenture 2083,Corporate Debenture
238,MEN,Mountain Energy Nepal Limited,Hydro Power
239,UMRH,United IDI Mardi RB Hydropower Limited.,Hydro Power
240,SRD80,10% Sunrise Debenture 2080,Corporate Debenture
241,NICAD8182,9% NIC Asia Debenture 2081/82,Corporate Debenture
242,PLI,Prabhu Life Insurance Limited,Life Insurance
243,SIGS2,Siddhartha Investment Growth Scheme - 2,Mutual Fund
244,ICFCD83,12% ICFC Finance Limited Debenture 2083,Corporate Debenture
245,CGH,Chandragiri Hills Limited,Hotels
246,NIFRA,Nepal Infrastructure Bank Limited,Investment
247,SLCF,Sanima Large Cap Fund,Mutual Fund
248,NBBD2085,10.25% NBBL Debenture 2085,Corporate Debenture
249,GLH,GreenLife Hydropower Limited,Hydro Power
250,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited,Microfinance
251,JLI,Jyoti Life Insurance Company Limited,Life Insurance
252,KEF,Kumari Equity Fund,Mutual Fund
253,MFLD85,9.5% Manjushree Finance Limited Debenture 2085,Corporate Debenture
254,MBLD2085,10.25% Machhapuchhre Bank Debenture 2085,Corporate Debenture
255,SBLD83,10.25% SBL Debenture 2083,Corporate Debenture
256,LBLD86,10% Laxmi Bank Debenture 2086,Corporate Debenture
257,PBLD86,10.25% Prabhu Bank  Debenture 2086,Corporate Debenture
258,ADBLD83,10.35% Agricultural Bank Debenture 2083,Corporate Debenture
259,SHEL,Singati Hydro Energy Limited,Hydro Power
260,RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydro Power
261,NBLD82,10% Nabil Debenture 2082,Corporate Debenture
262,SBD87,8.5% Sanima Debenture 2087,Corporate Debenture
263,SBLD84,8.5% SBL Debenture 2084,Corporate Debenture
264,CHDC,CEDB Hydropower Development Company Limited,Investment
265,SBCF,Sunrise Bluechip Fund,Mutual Fund
266,PSF,Prabhu Select Fund,Mutual Fund
267,NIBSF2,NIBL Samriddhi Fund -2,Mutual Fund
268,GWFD83,12 % Goodwill Finance Limited Debenture 2083,Corporate Debenture
269,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,Microfinance
270,ULI,Union Life Insurance Company Limited,Life Insurance
271,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,Microfinance
272,NCCD86,9.5% NCC Debenture 2086,Corporate Debenture
273,RMF1,RBB Mutual Fund 1,Mutual Fund
274,SLI,Sanima Life Insurance Limited,Life Insurance
275,NICSF,NIC Asia Select Fund 30,Mutual Fund
276,LBLD88,8.5% Laxmi Bank Debenture 2088,Corporate Debenture
277,MKJC,Mailung Khola Jal Vidhyut Company Limited,Hydro Power
278,PBD85,8.75 % Prime Debenture 2085,Corporate Debenture
279,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance
280,SDBD87,Shangri-la Development Bank Debenture 2087,Corporate Debenture
281,NMBD2085,10 % NMB DEBENTURE 2085,Corporate Debenture
282,SAHAS,Sahas Urja Limited,Hydro Power
283,TPC,Terhathum Power Company Limited,Hydro Power
284,MMF1,Mega Mutual Fund -1,Mutual Fund
285,NBF3,nabil Balanced Fund-3,Mutual Fund
286,NIBD84,8.5% Nepal Investment Bank Debenture 2084,Corporate Debenture
287,SPC,Samling Power Company Limited,Hydro Power
288,NYADI,Nyadi Hydropower Limited,Hydro Power
289,NBLD85,Nabil Debenture 2085,Corporate Debenture
290,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,Hydro Power
291,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power
292,BOKD86,8.5% BOK Debenture 2086,Corporate Debenture
293,ADBL,Agricultural Development Bank Limited,Commercial Banks
294,PIC,Premier Insurance Company (Nepal) Limited,Non Life Insurance
295,ENL,Emerging Nepal Limited,Investment
296,RULB,Rastra Utthan Laghubitta Sanstha Limited,Microfinance
297,JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance
298,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance
299,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance
300,LICN,Life Insurance Corporation (Nepal) Limited,Life Insurance
301,NTC,Nepal Doorsanchar Company Limited,Others
