,company.name,company.code
41731,Global IME Bank Ltd. Promoter Share,
43810,Metro Development Bank Limited,
43826,Pacific Development Bank Limited,
44683,Nepal Consumer Development Bank Ltd.,
48081,Siddhartha Investment Growth Scheme-1,
48362,Innovative Development Bank Ltd.,
50034,Kakre Bihar Bikash Bank Ltd,
50347,Civic Development Bank Ltd,
50621,Bright Development Bank Ltd,
51108,Sunrise Bank Ltd Promoter Share,
51144,International Development Bank Ltd,
51840,Khandbari Development Bank Ltd,
52538,Rising Development Bank Ltd.,
53063,Nabil Balance Fund 1,
53676,Commerz and Trust Bank Nepal Ltd.,
54819,Reliable Development Bank Ltd. Promoter Share,
55321,Prime Commercial Bank Promoter Share,
55812,Siddhartha Finance Ltd. Promoter,
56115,Kasthamandap Dev. Bank Ltd Promoter Share,
56774,Subbecha Bikas Bank Ltd. Promoter Share,
57158,Kaski Finanace Ltd. Promoter,
58730,NIC Asia Bank Limted Promoter Share,
59367,Seti Finance Ltd. Promoter Share,
62151,Himalayan Bank Ltd. Promoter,
62589,Om Development Bank Ltd. Promoter,
62661,Mahakali Bikas Bank Ltd. Promoter,
62721,Dev BikasBank Ltd. Promoter Share,
62753,Namaste Bittiya Sanstha Ltd.,
62827,Jebils Finance Ltd.,
63073,Jhimruk Bikas Bank Ltd.,
63458,Professional Diyalo Bikas Bank Ltd.,
63605,Jyoti Bikash  Bank Ltd. Promoter Share,
63641,Prabhu Bikas Bank Limited,
64053,Tinau Development Bank Ltd. Promoter,
64636,National Life Insurance Co. Ltd. Promoter Share,
64676,Surya Life Insurance Co. Ltd. Promoter Share,
66077,Manaslu Bikas Bank Ltd.,
67707,Nepal Life Insurance Co. Ltd. Promoter,
68034,Prabhu Insurance Company Ltd. Promoter,
71044,Everest Bank Ltd.Promoter,
71506,Sewa Bikas Bank Ltd. Promoter,
72064,Mission Development Bank Ltd.,
72381,Asian Life Insurance Co. Ltd Promoter Share,
73034,Nepal Community Development Bank Ltd.,
73103,Cosmos Development Bank Ltd.,
73247,Matribhumi Development Bank Ltd.,
76489,NagBeli LaghuBitta Bikas Bank Ltd.,
77860,Unique Finance Ltd. Promoter Share,
78769,Prudential Finance Co. Ltd. Promoter,
80176,Shikhar Insurance Co. Ltd. Promoter,
80460,United Finance Company Limited Promoter Share,
80749,Deprosc LaghuBitta Promoter Share,
81388,Taragaon Regency Hotels Ltd. Preference Share,
81589,Miteri Development Bank Ltd. Promoter Share,
82409,Hama Merchant & Finance Ltd. Promoter Share,
82989,Excel Development Bank Ltd. Promoter Share,
83428,Guheyshwori Merchant & Finance Ltd. Promoter Share,
87976,Mount Makalu Development Bank Ltd.,
88511,Neco Insurace Co. Ltd. Promoter,
88990,Ekata Bikas Bank Ltd.,
89690,Nepal Aawas Finance Limited Promoter Share,
90937,Mahalxmi Bikas Bank Ltd. Promotor Share,
90979,Sagarmatha Insurance Co. Ltd. Promoter Share,
91260,Araniko Development Bank Limited Promoter Share,
91519,Guras Life Insurance Company Ltd. Promoter Share,
91895,Garima Bikas Bank Limited Promoter Share,
92244,Synergy Finance Ltd. Promoter Share,
92405,Gaumukhee Bikas Bank Ltd.,
93853,Lumbini Bikas Bank Ltd. Promoter Share,
93976,Kalinchowk Development Bank Ltd.,
95920,Bishwa Bikas Bank Limited Promoter Share,
96770,Siddhartha Insurance Ltd. Promoter Share,
96990,NMB Sulav Investment Fund-1,
97042,Bhargav Bikash Bank Ltd. Promoter Share,
97254,Prabhu  Bank Limited Promoter Share,
97574,Western Development Bank Limited Promoter Share,
97609,IME General Insurance  Ltd. Promoter Share,
97681,Rastriya Beema Company Limited Promoter Share,
101657,Lumbini Finance Ltd Promoter Share,
103888,Country Development Bank Ltd. Promoter Share,
104234,Paschimanchal Finance Co. Ltd. Promoter Share,
104410,Business Universal Development Bank Ltd. Promoter Share,
104713,Muktinath Bikas Bank Ltd. Promoter Share,
109010,Central Finance Co. Ltd. Promoter Share,
109411,Laxmi Value Fund-1,
109660,Kamana Sewa Bikas Bank Limited Promoter Share,
111195,Bhaktapur Finance Co. Ltd.,
111294,Raptibheri Bikas Bank Ltd.,
111857,Pacific Development Bank Ltd. Promoter Share,
112022,Bagmati Development Bank Ltd. Promoter Share,
114557,Professional Diyalo Bikas Bank Ltd. Promoter Share,
114646,Lalitpur Finance Co. Ltd. Promoter Share,
116482,Hathway Finance Company Limited Promoter Share,
121580,Swabalamban Laghubitta Bittiya Sanstha Limited Promoter Share,
122535,Tourism Development Bank Ltd. Prmoter Share,
122985,Prudential Insurance Co. Ltd. Promoter Share,
123995,Shangrila Development Bank Ltd. Promoter Share,
125016,Reliance Finance Ltd. Promoter Share,
125418,Sagarmatha  Finance Limited Promoter Share,
127684,First Micro Finance Laghubitta Bittiya Sanstha Limited Promoter Share,
131409,Saptakoshi Development Bank Ltd.,
132985,Kanchan Development Bank Limited Promoter Share,
133047,Sajha Bikas Bank Ltd.,
136517,Civil Bank Ltd Promoter Share,
137500,Nepal Insurance Co. Ltd Promoter Share,
139785,Karnali Development Bank Limited Promoter Share,
140351,Kankai Bikas Bank Ltd. Promoter Share,
141182,Janata Bank Nepal Ltd. Promoter Share,
141563,Swarojgar Laghu Bitta Bikas Bank Ltd. Promoter Share,
142289,Chhimek Laghubitta Bikas Bank Limited Promoter Share,
147686,Summit Laghubitta Bittiya Sanstha Limited Promoter Share,
148413,Sindhu Bikas Bank Ltd. Promoter Share,
151083,Mission Development Bank Ltd. Promoter Share,
152418,Manjushree Finance Ltd. Promoter Share,
152970,Mega  Bank Nepal Ltd. Promoter Share,
153133,NLG Insurance Company Ltd. Promoter Share,
157255,Kalika Laghubitta Bittiya Sanstha Ltd Promoter Share,
159151,Himalayan General Insurance Co. Ltd Promoter Share,
162020,City Express Finance Co. Ltd. Promoter Share,
164925,NagBeli LaghuBitta Bikas Bank Ltd. Promoter Share,
165812,Purnima Bikas Bank Ltd. Promoter Share,
165966,Samriddhi Finance Company Limited Promoter Share,
169058,Corporate Development Bank Ltd. Promoter Share,
170077,Hamro Bikas Bank Ltd. Promoter Share,
171060,Century Commercial Bank Ltd. Promoter Share,
171313,Rural Microfinance Development Centre Ltd. Promoter Share,
174309,Jebils Finance Ltd. Promoter Share,
175373,United Insurance Co. (Nepal) Ltd. Promoter Share,
178633,Nepal Community Development Bank Ltd. Promoter Share,
179294,Gandaki Bikas Bank Limited Promoter Share,
184429,Sana Kisan Bikas Bank Ltd Promoter Share,
185535,Prime Life Insurance Company Limited Promoter Share,
186883,Grameen Bikas Laghubitta Bittiya Sanstha Ltd. Promoter Share,
187398,Multipurpose Finance Company  Limited Promoter Share,
190416,Nepal Finance Ltd. Promoter Share,
220203,Nirdhan Utthan Bank Limited Promoter Share,
223270,Mirmire Microfinance Development Bank Ltd. Promoter Share,
234405,Naya Sarathi Laghubitta Bittiya Sanstha Limited Promoter Share,
234802,Shine Resunga Development Bank Ltd. Promoter Share,
250049,Lumbini General Insurance Co. Ltd. Promoter Share,
259500,Tinau Mission Development Bank Limited Promoter Share,
259604,NMB  Microfinance Bittiya Sanstha Ltd. Promoter Share,
262282,Green Development Bank Ltd. Promoter Share,
266558,Nerude Laghubita Bikas Bank Limited Promoter Share,
283358,Womi Microfinance Bittiya Sanstha Ltd. Promoter Share,
292239,Premier Insurance Co. Ltd. Promoter Share,
294632,SURYODAYA LAGHUBITTA BITTIYA SANSTHA LIMITED PROMOTER SHARE,
294652,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED PROMOTER SHARE,
295206,Saptakoshi Development Bank Ltd Promoter Share,
295865,Everest Insurance Co. Ltd. Promoter Share,
297380,RSDC Laghubitta Bittiya Sanstha Ltd. Promoter Share,
298434,Vijaya laghubitta Bittiya Sanstha Ltd. Promoter Share,
307116,National Microfinance Bittiya Sanstha Ltd. Promoter,
307458,Forward Community Microfinance Bittiya Sanstha Ltd Promoter Share,
309986,Mithila LaghuBitta Bikas Bank Ltd. Promoter Share,
311871,Mahuli Laghubitta Bittiya Sanstha Limited Promoter,
315185,Civil Laghubitta Bittiya Sanstha Promoter,
316071,Janautthan Samudayic Laghubitta Bikas Bank Ltd. Promoter Share,
328575,Kisan Lagubitta Bittiya Sanstha Limited Promoter Share,
